date,year,month,quarter,department,cost_center,category,actual
2023-01-01,2023,1,Q1,Engineering,CC-1001,Salaries,684932.79
2023-01-01,2023,1,Q1,Engineering,CC-1001,OPEX,94660.87
2023-01-01,2023,1,Q1,Engineering,CC-1001,Capex,113016.0
2023-01-01,2023,1,Q1,Engineering,CC-1001,T&E,9536.07
2023-01-01,2023,1,Q1,Engineering,CC-1001,Marketing Spend,239534.03
2023-01-01,2023,1,Q1,Engineering,CC-1001,Software,79885.87
2023-01-01,2023,1,Q1,Engineering,CC-1001,Utilities,13016.63
2023-01-01,2023,1,Q1,Engineering,CC-1001,Headcount,92.84
2023-01-01,2023,1,Q1,Sales,CC-2001,Salaries,714974.48
2023-01-01,2023,1,Q1,Sales,CC-2001,OPEX,129690.95
2023-01-01,2023,1,Q1,Sales,CC-2001,Capex,58289.7
2023-01-01,2023,1,Q1,Sales,CC-2001,T&E,9299.79
2023-01-01,2023,1,Q1,Sales,CC-2001,Marketing Spend,129748.96
2023-01-01,2023,1,Q1,Sales,CC-2001,Software,30414.87
2023-01-01,2023,1,Q1,Sales,CC-2001,Utilities,17824.27
2023-01-01,2023,1,Q1,Sales,CC-2001,Headcount,86.99
2023-01-01,2023,1,Q1,Marketing,CC-3001,Salaries,654227.64
2023-01-01,2023,1,Q1,Marketing,CC-3001,OPEX,76302.6
2023-01-01,2023,1,Q1,Marketing,CC-3001,Capex,79218.37
2023-01-01,2023,1,Q1,Marketing,CC-3001,T&E,16597.69
2023-01-01,2023,1,Q1,Marketing,CC-3001,Marketing Spend,299883.24
2023-01-01,2023,1,Q1,Marketing,CC-3001,Software,38099.19
2023-01-01,2023,1,Q1,Marketing,CC-3001,Utilities,22747.07
2023-01-01,2023,1,Q1,Marketing,CC-3001,Headcount,78.47
2023-01-01,2023,1,Q1,HR,CC-4001,Salaries,167810.1
2023-01-01,2023,1,Q1,HR,CC-4001,OPEX,161394.25
2023-01-01,2023,1,Q1,HR,CC-4001,Capex,123775.01
2023-01-01,2023,1,Q1,HR,CC-4001,T&E,20523.15
2023-01-01,2023,1,Q1,HR,CC-4001,Marketing Spend,66534.82
2023-01-01,2023,1,Q1,HR,CC-4001,Software,30864.83
2023-01-01,2023,1,Q1,HR,CC-4001,Utilities,21754.16
2023-01-01,2023,1,Q1,HR,CC-4001,Headcount,49.78
2023-01-01,2023,1,Q1,Operations,CC-5001,Salaries,568959.55
2023-01-01,2023,1,Q1,Operations,CC-5001,OPEX,171792.38
2023-01-01,2023,1,Q1,Operations,CC-5001,Capex,132289.81
2023-01-01,2023,1,Q1,Operations,CC-5001,T&E,12060.42
2023-01-01,2023,1,Q1,Operations,CC-5001,Marketing Spend,306388.73
2023-01-01,2023,1,Q1,Operations,CC-5001,Software,41394.75
2023-01-01,2023,1,Q1,Operations,CC-5001,Utilities,12676.9
2023-01-01,2023,1,Q1,Operations,CC-5001,Headcount,76.96
2023-01-01,2023,1,Q1,Finance,CC-6001,Salaries,444899.41
2023-01-01,2023,1,Q1,Finance,CC-6001,OPEX,174234.17
2023-01-01,2023,1,Q1,Finance,CC-6001,Capex,9138.78
2023-01-01,2023,1,Q1,Finance,CC-6001,T&E,27709.16
2023-01-01,2023,1,Q1,Finance,CC-6001,Marketing Spend,512091.05
2023-01-01,2023,1,Q1,Finance,CC-6001,Software,49920.85
2023-01-01,2023,1,Q1,Finance,CC-6001,Utilities,22629.02
