date,year,month,quarter,department,cost_center,category,budget
2023-01-01,2023,1,Q1,Engineering,CC-1001,Salaries,759859.73
2023-02-01,2023,2,Q1,Engineering,CC-1001,Salaries,829722.79
2023-03-01,2023,3,Q1,Engineering,CC-1001,Salaries,664052.76
2023-04-01,2023,4,Q2,Engineering,CC-1001,Salaries,1065355.04
2023-05-01,2023,5,Q2,Engineering,CC-1001,Salaries,576288.88
2023-06-01,2023,6,Q2,Engineering,CC-1001,Salaries,486996.05
2023-07-01,2023,7,Q3,Engineering,CC-1001,Salaries,707040.54
2023-08-01,2023,8,Q3,Engineering,CC-1001,Salaries,547980.76
2023-09-01,2023,9,Q3,Engineering,CC-1001,Salaries,545491.24
2023-10-01,2023,10,Q4,Engineering,CC-1001,Salaries,854247.15
2023-11-01,2023,11,Q4,Engineering,CC-1001,Salaries,363691.57
2023-12-01,2023,12,Q4,Engineering,CC-1001,Salaries,760918.43
2024-01-01,2024,1,Q1,Engineering,CC-1001,Salaries,187420.61
2024-02-01,2024,2,Q1,Engineering,CC-1001,Salaries,602648.85
2024-03-01,2024,3,Q1,Engineering,CC-1001,Salaries,612911.56
2024-04-01,2024,4,Q2,Engineering,CC-1001,Salaries,528430.44
2024-05-01,2024,5,Q2,Engineering,CC-1001,Salaries,733735.69
2024-06-01,2024,6,Q2,Engineering,CC-1001,Salaries,616290.35
2024-07-01,2024,7,Q3,Engineering,CC-1001,Salaries,722915.38
2024-08-01,2024,8,Q3,Engineering,CC-1001,Salaries,743067.48
2024-09-01,2024,9,Q3,Engineering,CC-1001,Salaries,540806.44
2024-10-01,2024,10,Q4,Engineering,CC-1001,Salaries,805356.39
2024-11-01,2024,11,Q4,Engineering,CC-1001,Salaries,388160.36
2024-12-01,2024,12,Q4,Engineering,CC-1001,Salaries,555752.7
2025-01-01,2025,1,Q1,Engineering,CC-1001,Salaries,1086469.98
2025-02-01,2025,2,Q1,Engineering,CC-1001,Salaries,545842.1
2025-03-01,2025,3,Q1,Engineering,CC-1001,Salaries,716722.64
2023-01-01,2023,1,Q1,Engineering,CC-1001,OPEX,90070.3
2023-02-01,2023,2,Q1,Engineering,CC-1001,OPEX,115639.11
2023-03-01,2023,3,Q1,Engineering,CC-1001,OPEX,157166.55
2023-04-01,2023,4,Q2,Engineering,CC-1001,OPEX,191927.97
2023-05-01,2023,5,Q2,Engineering,CC-1001,OPEX,74832.61
2023-06-01,2023,6,Q2,Engineering,CC-1001,OPEX,100372.2
2023-07-01,2023,7,Q3,Engineering,CC-1001,OPEX,122272.24
2023-08-01,2023,8,Q3,Engineering,CC-1001,OPEX,143600.42
2023-09-01,2023,9,Q3,Engineering,CC-1001,OPEX,54412.94
2023-10-01,2023,10,Q4,Engineering,CC-1001,OPEX,137962.04
2023-11-01,2023,11,Q4,Engineering,CC-1001,OPEX,116447.55
2023-12-01,2023,12,Q4,Engineering,CC-1001,OPEX,144995.96
2024-01-01,2024,1,Q1,Engineering,CC-1001,OPEX,159006.85
2024-02-01,2024,2,Q1,Engineering,CC-1001,OPEX,128856.25
2024-03-01,2024,3,Q1,Engineering,CC-1001,OPEX,150334.08
2024-04-01,2024,4,Q2,Engineering,CC-1001,OPEX,254214.24
2024-05-01,2024,5,Q2,Engineering,CC-1001,OPEX,26415.0
2024-06-01,2024,6,Q2,Engineering,CC-1001,OPEX,95440.38
2024-07-01,2024,7,Q3,Engineering,CC-1001,OPEX,221896.26
2024-08-01,2024,8,Q3,Engineering,CC-1001,OPEX,141653.52
2024-09-01,2024,9,Q3,Engineering,CC-1001,OPEX,105925.26
2024-10-01,2024,10,Q4,Engineering,CC-1001,OPEX,105933.06
2024-11-01,2024,11,Q4,Engineering,CC-1001,OPEX,196022.08
2024-12-01,2024,12,Q4,Engineering,CC-1001,OPEX,36095.19
