date,year,month,quarter,department,cost_center,category,forecast
2025-04-01,2025,4,Q2,Engineering,CC-1001,Salaries,806095.54
2025-04-01,2025,4,Q2,Engineering,CC-1001,OPEX,169863.28
2025-04-01,2025,4,Q2,Engineering,CC-1001,Capex,66839.72
2025-04-01,2025,4,Q2,Engineering,CC-1001,T&E,35960.68
2025-04-01,2025,4,Q2,Engineering,CC-1001,Marketing Spend,279752.4
2025-04-01,2025,4,Q2,Engineering,CC-1001,Software,81618.22
2025-04-01,2025,4,Q2,Engineering,CC-1001,Utilities,26529.54
2025-04-01,2025,4,Q2,Engineering,CC-1001,Headcount,76.38
2025-04-01,2025,4,Q2,Sales,CC-2001,Salaries,599612.65
2025-04-01,2025,4,Q2,Sales,CC-2001,OPEX,118121.82
2025-04-01,2025,4,Q2,Sales,CC-2001,Capex,114062.58
2025-04-01,2025,4,Q2,Sales,CC-2001,T&E,10923.63
2025-04-01,2025,4,Q2,Sales,CC-2001,Marketing Spend,37660.91
2025-04-01,2025,4,Q2,Sales,CC-2001,Software,20755.62
2025-04-01,2025,4,Q2,Sales,CC-2001,Utilities,23221.07
2025-04-01,2025,4,Q2,Sales,CC-2001,Headcount,27.79
2025-04-01,2025,4,Q2,Marketing,CC-3001,Salaries,840888.72
2025-04-01,2025,4,Q2,Marketing,CC-3001,OPEX,175890.98
2025-04-01,2025,4,Q2,Marketing,CC-3001,Capex,89124.35
2025-04-01,2025,4,Q2,Marketing,CC-3001,T&E,27216.95
2025-04-01,2025,4,Q2,Marketing,CC-3001,Marketing Spend,102783.52
2025-04-01,2025,4,Q2,Marketing,CC-3001,Software,44487.53
2025-04-01,2025,4,Q2,Marketing,CC-3001,Utilities,21168.49
2025-04-01,2025,4,Q2,Marketing,CC-3001,Headcount,119.03
2025-04-01,2025,4,Q2,HR,CC-4001,Salaries,814808.37
2025-04-01,2025,4,Q2,HR,CC-4001,OPEX,176673.56
2025-04-01,2025,4,Q2,HR,CC-4001,Capex,42845.61
2025-04-01,2025,4,Q2,HR,CC-4001,T&E,8638.81
2025-04-01,2025,4,Q2,HR,CC-4001,Marketing Spend,269618.23
2025-04-01,2025,4,Q2,HR,CC-4001,Software,14238.35
2025-04-01,2025,4,Q2,HR,CC-4001,Utilities,21089.22
2025-04-01,2025,4,Q2,HR,CC-4001,Headcount,106.46
2025-04-01,2025,4,Q2,Operations,CC-5001,Salaries,574573.68
2025-04-01,2025,4,Q2,Operations,CC-5001,OPEX,67226.83
2025-04-01,2025,4,Q2,Operations,CC-5001,Capex,78061.09
2025-04-01,2025,4,Q2,Operations,CC-5001,T&E,16416.56
2025-04-01,2025,4,Q2,Operations,CC-5001,Marketing Spend,135261.33
2025-04-01,2025,4,Q2,Operations,CC-5001,Software,37041.22
2025-04-01,2025,4,Q2,Operations,CC-5001,Utilities,15575.86
2025-04-01,2025,4,Q2,Operations,CC-5001,Headcount,35.51
2025-04-01,2025,4,Q2,Finance,CC-6001,Salaries,668499.25
2025-04-01,2025,4,Q2,Finance,CC-6001,OPEX,135052.86
2025-04-01,2025,4,Q2,Finance,CC-6001,Capex,76559.25
2025-04-01,2025,4,Q2,Finance,CC-6001,T&E,8089.97
2025-04-01,2025,4,Q2,Finance,CC-6001,Marketing Spend,280330.7
2025-04-01,2025,4,Q2,Finance,CC-6001,Software,46223.69
2025-04-01,2025,4,Q2,Finance,CC-6001,Utilities,20103.51
2025-04-01,2025,4,Q2,Finance,CC-6001,Headcount,106.41
2025-04-01,2025,4,Q2,IT,CC-7001,Salaries,682053.41
2025-04-01,2025,4,Q2,IT,CC-7001,OPEX,175386.03
2025-04-01,2025,4,Q2,IT,CC-7001,Capex,58507.09
2025-04-01,2025,4,Q2,IT,CC-7001,T&E,36607.77
2025-04-01,2025,4,Q2,IT,CC-7001,Marketing Spend,158929.96
2025-04-01,2025,4,Q2,IT,CC-7001,Software,66687.0
2025-04-01,2025,4,Q2,IT,CC-7001,Utilities,25576.75
2025-04-01,2025,4,Q2,IT,CC-7001,Headcount,60.34
2025-05-01,2025,5,Q2,Engineering,CC-1001,Salaries,487088.66
2025-05-01,2025,5,Q2,Engineering,CC-1001,OPEX,150206.28
2025-05-01,2025,5,Q2,Engineering,CC-1001,Capex,72087.64
2025-05-01,2025,5,Q2,Engineering,CC-1001,T&E,7842.45
2025-05-01,2025,5,Q2,Engineering,CC-1001,Marketing Spend,245390.73
2025-05-01,2025,5,Q2,Engineering,CC-1001,Software,24584.29
2025-05-01,2025,5,Q2,Engineering,CC-1001,Utilities,6823.82
2025-05-01,2025,5,Q2,Engineering,CC-1001,Headcount,43.13
2025-05-01,2025,5,Q2,Sales,CC-2001,Salaries,487559.91
2025-05-01,2025,5,Q2,Sales,CC-2001,OPEX,130360.38
2025-05-01,2025,5,Q2,Sales,CC-2001,Capex,151251.52
2025-05-01,2025,5,Q2,Sales,CC-2001,T&E,26293.34
2025-05-01,2025,5,Q2,Sales,CC-2001,Marketing Spend,138848.37
2025-05-01,2025,5,Q2,Sales,CC-2001,Software,56649.33
2025-05-01,2025,5,Q2,Sales,CC-2001,Utilities,26455.97
2025-05-01,2025,5,Q2,Sales,CC-2001,Headcount,95.42
2025-05-01,2025,5,Q2,Marketing,CC-3001,Salaries,433315.54
2025-05-01,2025,5,Q2,Marketing,CC-3001,OPEX,115361.18
2025-05-01,2025,5,Q2,Marketing,CC-3001,Capex,101369.63
2025-05-01,2025,5,Q2,Marketing,CC-3001,T&E,40261.82
2025-05-01,2025,5,Q2,Marketing,CC-3001,Marketing Spend,64749.73
2025-05-01,2025,5,Q2,Marketing,CC-3001,Software,17195.99
2025-05-01,2025,5,Q2,Marketing,CC-3001,Utilities,21144.32
2025-05-01,2025,5,Q2,Marketing,CC-3001,Headcount,76.06
2025-05-01,2025,5,Q2,HR,CC-4001,Salaries,896805.59
2025-05-01,2025,5,Q2,HR,CC-4001,OPEX,157224.27
2025-05-01,2025,5,Q2,HR,CC-4001,Capex,21551.38
2025-05-01,2025,5,Q2,HR,CC-4001,T&E,21786.34
2025-05-01,2025,5,Q2,HR,CC-4001,Marketing Spend,202789.4
2025-05-01,2025,5,Q2,HR,CC-4001,Software,52524.81
2025-05-01,2025,5,Q2,HR,CC-4001,Utilities,5143.57
2025-05-01,2025,5,Q2,HR,CC-4001,Headcount,122.11
2025-05-01,2025,5,Q2,Operations,CC-5001,Salaries,548385.38
2025-05-01,2025,5,Q2,Operations,CC-5001,OPEX,160345.22
2025-05-01,2025,5,Q2,Operations,CC-5001,Capex,81033.68
2025-05-01,2025,5,Q2,Operations,CC-5001,T&E,32012.95
2025-05-01,2025,5,Q2,Operations,CC-5001,Marketing Spend,200447.75
2025-05-01,2025,5,Q2,Operations,CC-5001,Software,17511.12
2025-05-01,2025,5,Q2,Operations,CC-5001,Utilities,29879.53
2025-05-01,2025,5,Q2,Operations,CC-5001,Headcount,96.09
2025-05-01,2025,5,Q2,Finance,CC-6001,Salaries,829791.54
2025-05-01,2025,5,Q2,Finance,CC-6001,OPEX,173216.9
2025-05-01,2025,5,Q2,Finance,CC-6001,Capex,55721.22
2025-05-01,2025,5,Q2,Finance,CC-6001,T&E,26707.6
2025-05-01,2025,5,Q2,Finance,CC-6001,Marketing Spend,211130.16
2025-05-01,2025,5,Q2,Finance,CC-6001,Software,68685.2
2025-05-01,2025,5,Q2,Finance,CC-6001,Utilities,23785.77
2025-05-01,2025,5,Q2,Finance,CC-6001,Headcount,78.72
2025-05-01,2025,5,Q2,IT,CC-7001,Salaries,629394.16
2025-05-01,2025,5,Q2,IT,CC-7001,OPEX,60535.74
2025-05-01,2025,5,Q2,IT,CC-7001,Capex,144846.76
2025-05-01,2025,5,Q2,IT,CC-7001,T&E,9779.67
2025-05-01,2025,5,Q2,IT,CC-7001,Marketing Spend,148157.48
2025-05-01,2025,5,Q2,IT,CC-7001,Software,66831.12
2025-05-01,2025,5,Q2,IT,CC-7001,Utilities,10176.42
2025-05-01,2025,5,Q2,IT,CC-7001,Headcount,101.93
2025-06-01,2025,6,Q2,Engineering,CC-1001,Salaries,631654.7
2025-06-01,2025,6,Q2,Engineering,CC-1001,OPEX,127083.18
2025-06-01,2025,6,Q2,Engineering,CC-1001,Capex,99416.93
2025-06-01,2025,6,Q2,Engineering,CC-1001,T&E,25948.96
2025-06-01,2025,6,Q2,Engineering,CC-1001,Marketing Spend,281033.98
2025-06-01,2025,6,Q2,Engineering,CC-1001,Software,15688.29
2025-06-01,2025,6,Q2,Engineering,CC-1001,Utilities,15018.62
2025-06-01,2025,6,Q2,Engineering,CC-1001,Headcount,118.43
2025-06-01,2025,6,Q2,Sales,CC-2001,Salaries,580704.1
2025-06-01,2025,6,Q2,Sales,CC-2001,OPEX,102216.37
2025-06-01,2025,6,Q2,Sales,CC-2001,Capex,61177.85
2025-06-01,2025,6,Q2,Sales,CC-2001,T&E,18752.98
2025-06-01,2025,6,Q2,Sales,CC-2001,Marketing Spend,230718.0
2025-06-01,2025,6,Q2,Sales,CC-2001,Software,23478.74
2025-06-01,2025,6,Q2,Sales,CC-2001,Utilities,15251.75
2025-06-01,2025,6,Q2,Sales,CC-2001,Headcount,67.41
2025-06-01,2025,6,Q2,Marketing,CC-3001,Salaries,469441.65
2025-06-01,2025,6,Q2,Marketing,CC-3001,OPEX,151371.78
2025-06-01,2025,6,Q2,Marketing,CC-3001,Capex,35278.61
2025-06-01,2025,6,Q2,Marketing,CC-3001,T&E,10350.56
2025-06-01,2025,6,Q2,Marketing,CC-3001,Marketing Spend,46057.6
2025-06-01,2025,6,Q2,Marketing,CC-3001,Software,31263.89
2025-06-01,2025,6,Q2,Marketing,CC-3001,Utilities,16072.02
2025-06-01,2025,6,Q2,Marketing,CC-3001,Headcount,55.43
2025-06-01,2025,6,Q2,HR,CC-4001,Salaries,748415.88
