date,year,month,department,headcount
2023-01-01,2023,1,Engineering,85
2023-01-01,2023,1,Sales,86
2023-01-01,2023,1,Marketing,29
2023-01-01,2023,1,HR,49
2023-01-01,2023,1,Operations,35
2023-01-01,2023,1,Finance,37
2023-01-01,2023,1,IT,173
2023-02-01,2023,2,Engineering,86
2023-02-01,2023,2,Sales,87
2023-02-01,2023,2,Marketing,28
2023-02-01,2023,2,HR,51
2023-02-01,2023,2,Operations,33
2023-02-01,2023,2,Finance,39
2023-02-01,2023,2,IT,171
2023-03-01,2023,3,Engineering,84
2023-03-01,2023,3,Sales,89
2023-03-01,2023,3,Marketing,30
2023-03-01,2023,3,HR,53
2023-03-01,2023,3,Operations,37
2023-03-01,2023,3,Finance,43
2023-03-01,2023,3,IT,173
2023-04-01,2023,4,Engineering,82
2023-04-01,2023,4,Sales,87
2023-04-01,2023,4,Marketing,30
2023-04-01,2023,4,HR,51
2023-04-01,2023,4,Operations,38
2023-04-01,2023,4,Finance,47
2023-04-01,2023,4,IT,171
2023-05-01,2023,5,Engineering,80
2023-05-01,2023,5,Sales,89
2023-05-01,2023,5,Marketing,34
2023-05-01,2023,5,HR,55
2023-05-01,2023,5,Operations,36
2023-05-01,2023,5,Finance,48
2023-05-01,2023,5,IT,173
2023-06-01,2023,6,Engineering,84
2023-06-01,2023,6,Sales,92
2023-06-01,2023,6,Marketing,37
2023-06-01,2023,6,HR,54
2023-06-01,2023,6,Operations,40
2023-06-01,2023,6,Finance,47
2023-06-01,2023,6,IT,172
2023-07-01,2023,7,Engineering,87
2023-07-01,2023,7,Sales,93
2023-07-01,2023,7,Marketing,36
2023-07-01,2023,7,HR,55
2023-07-01,2023,7,Operations,43
2023-07-01,2023,7,Finance,51
2023-07-01,2023,7,IT,174
2023-08-01,2023,8,Engineering,90
2023-08-01,2023,8,Sales,95
2023-08-01,2023,8,Marketing,40
2023-08-01,2023,8,HR,57
2023-08-01,2023,8,Operations,46
2023-08-01,2023,8,Finance,52
2023-08-01,2023,8,IT,177
2023-09-01,2023,9,Engineering,93
2023-09-01,2023,9,Sales,97
2023-09-01,2023,9,Marketing,38
2023-09-01,2023,9,HR,58
2023-09-01,2023,9,Operations,44
2023-09-01,2023,9,Finance,54
2023-09-01,2023,9,IT,181
2023-10-01,2023,10,Engineering,96
2023-10-01,2023,10,Sales,97
2023-10-01,2023,10,Marketing,38
2023-10-01,2023,10,HR,60
2023-10-01,2023,10,Operations,48
2023-10-01,2023,10,Finance,52
2023-10-01,2023,10,IT,185
2023-11-01,2023,11,Engineering,100
2023-11-01,2023,11,Sales,99
2023-11-01,2023,11,Marketing,39
2023-11-01,2023,11,HR,61
2023-11-01,2023,11,Operations,48
2023-11-01,2023,11,Finance,53
2023-11-01,2023,11,IT,184
2023-12-01,2023,12,Engineering,98
2023-12-01,2023,12,Sales,97
2023-12-01,2023,12,Marketing,37
2023-12-01,2023,12,HR,63
2023-12-01,2023,12,Operations,52
2023-12-01,2023,12,Finance,57
2023-12-01,2023,12,IT,186
2024-01-01,2024,1,Engineering,100
2024-01-01,2024,1,Sales,97
2024-01-01,2024,1,Marketing,40
2024-01-01,2024,1,HR,62
2024-01-01,2024,1,Operations,51
2024-01-01,2024,1,Finance,58
2024-01-01,2024,1,IT,184
2024-02-01,2024,2,Engineering,98
2024-02-01,2024,2,Sales,100
2024-02-01,2024,2,Marketing,44
2024-02-01,2024,2,HR,61
2024-02-01,2024,2,Operations,52
2024-02-01,2024,2,Finance,56
2024-02-01,2024,2,IT,182
2024-03-01,2024,3,Engineering,100
2024-03-01,2024,3,Sales,98
2024-03-01,2024,3,Marketing,44
2024-03-01,2024,3,HR,59
2024-03-01,2024,3,Operations,55
2024-03-01,2024,3,Finance,58
2024-03-01,2024,3,IT,184
2024-04-01,2024,4,Engineering,103
2024-04-01,2024,4,Sales,98
2024-04-01,2024,4,Marketing,47
2024-04-01,2024,4,HR,59
2024-04-01,2024,4,Operations,55
2024-04-01,2024,4,Finance,60
2024-04-01,2024,4,IT,183
2024-05-01,2024,5,Engineering,107
2024-05-01,2024,5,Sales,100
2024-05-01,2024,5,Marketing,51
2024-05-01,2024,5,HR,59
2024-05-01,2024,5,Operations,54
2024-05-01,2024,5,Finance,58
2024-05-01,2024,5,IT,182
2024-06-01,2024,6,Engineering,110
2024-06-01,2024,6,Sales,100
2024-06-01,2024,6,Marketing,55
2024-06-01,2024,6,HR,63
2024-06-01,2024,6,Operations,57
2024-06-01,2024,6,Finance,56
2024-06-01,2024,6,IT,180
2024-07-01,2024,7,Engineering,110
2024-07-01,2024,7,Sales,99
2024-07-01,2024,7,Marketing,55
2024-07-01,2024,7,HR,67
2024-07-01,2024,7,Operations,56
2024-07-01,2024,7,Finance,56
2024-07-01,2024,7,IT,181
2024-08-01,2024,8,Engineering,111
2024-08-01,2024,8,Sales,97
2024-08-01,2024,8,Marketing,56
2024-08-01,2024,8,HR,67
2024-08-01,2024,8,Operations,57
2024-08-01,2024,8,Finance,58
2024-08-01,2024,8,IT,183
2024-09-01,2024,9,Engineering,113
2024-09-01,2024,9,Sales,97
2024-09-01,2024,9,Marketing,56
2024-09-01,2024,9,HR,69
2024-09-01,2024,9,Operations,60
2024-09-01,2024,9,Finance,58
2024-09-01,2024,9,IT,187
2024-10-01,2024,10,Engineering,114
2024-10-01,2024,10,Sales,98
2024-10-01,2024,10,Marketing,57
2024-10-01,2024,10,HR,68
2024-10-01,2024,10,Operations,63
2024-10-01,2024,10,Finance,56
2024-10-01,2024,10,IT,185
2024-11-01,2024,11,Engineering,112
2024-11-01,2024,11,Sales,100
2024-11-01,2024,11,Marketing,56
2024-11-01,2024,11,HR,68
2024-11-01,2024,11,Operations,66
2024-11-01,2024,11,Finance,59
2024-11-01,2024,11,IT,183
2024-12-01,2024,12,Engineering,116
2024-12-01,2024,12,Sales,99
2024-12-01,2024,12,Marketing,59
2024-12-01,2024,12,HR,72
2024-12-01,2024,12,Operations,68
2024-12-01,2024,12,Finance,57
2024-12-01,2024,12,IT,186
2025-01-01,2025,1,Engineering,118
2025-01-01,2025,1,Sales,98
2025-01-01,2025,1,Marketing,58
2025-01-01,2025,1,HR,75
2025-01-01,2025,1,Operations,67
2025-01-01,2025,1,Finance,59
2025-01-01,2025,1,IT,187
2025-02-01,2025,2,Engineering,120
2025-02-01,2025,2,Sales,102
2025-02-01,2025,2,Marketing,58
2025-02-01,2025,2,HR,73
2025-02-01,2025,2,Operations,66
2025-02-01,2025,2,Finance,60
2025-02-01,2025,2,IT,186
2025-03-01,2025,3,Engineering,118
2025-03-01,2025,3,Sales,104
2025-03-01,2025,3,Marketing,58
2025-03-01,2025,3,HR,75
2025-03-01,2025,3,Operations,64
2025-03-01,2025,3,Finance,61
2025-03-01,2025,3,IT,186
